N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
166,한미반도체,"34,250",600,-1.72%,200,"16,940","49,460",7.38,"93,709",22.83,21.03,
167,한전KPS,"37,000",200,-0.54%,200,"16,650","45,000",9.41,"31,088",15.43,8.23,
168,KODEX 레버리지,"25,415",260,-1.01%,0,"16,571","65,200",1.53,"5,245,481",N/A,N/A,
169,JB금융지주,"8,310",80,+0.97%,"5,000","16,369","196,983",40.87,"217,634",4.10,10.06,
170,아시아나항공,"21,900",650,+3.06%,"5,000","16,296","74,412",21.48,"1,063,163",-23.80,-43.83,
171,한국앤컴퍼니,"17,050",150,+0.89%,500,"16,186","94,935",9.68,"31,255",6.53,5.08,
172,부광약품,"22,150",150,-0.67%,500,"15,740","71,063",4.70,"771,583",-140.19,-2.46,
173,DGB금융지주,"9,280",30,+0.32%,"5,000","15,697","169,146",49.27,"146,176",4.27,6.93,
174,녹십자홀딩스,"32,700",750,+2.35%,500,"15,378","47,028",5.39,"55,234",8.68,19.74,
175,진원생명과학,"33,700",800,-2.32%,"1,000","15,236","45,212",14.64,"626,987",-70.65,-30.43,
176,명신산업,"28,800",300,-1.03%,500,"15,111","52,470",1.69,"190,563",-12.49,-67.39,
177,한일시멘트,"217,500","1,500",+0.69%,"5,000","15,064","6,926",2.60,"9,315",12.51,N/A,
178,아이에스동서,"48,600",400,+0.83%,500,"15,014","30,893",4.54,"14,627",13.86,10.92,
179,두산,"90,700","1,200",+1.34%,"5,000","14,987","16,524",12.03,"6,118",-148.45,-34.34,
180,종근당,"130,500","3,500",+2.76%,"2,500","14,911","11,426",7.98,"63,105",17.52,17.88,
181,대한유화,"228,500","3,000",+1.33%,"5,000","14,852","6,500",13.82,"16,976",6.39,6.93,
182,KG동부제철,"14,850",50,+0.34%,"5,000","14,851","100,009",1.62,"58,211",12.14,7.18,
183,DL,"70,500",100,+0.14%,"5,000","14,774","20,956",14.80,"17,161",2.28,11.84,
184,코스맥스,"130,000","3,000",+2.36%,500,"14,754","11,350",24.40,"33,668",30.12,6.23,
185,KODEX 단기채권PLUS,"103,170",5,0.00%,0,"14,298","13,859",0.00,"149,435",N/A,N/A,
186,롯데리츠,"5,780",10,-0.17%,500,"14,044","242,969",10.53,"82,801",33.60,1.83,
187,신세계인터내셔날,"195,500",0,0.00%,"5,000","13,959","7,140",5.27,"3,221",19.26,8.24,
188,솔루엠,"27,800",50,-0.18%,500,"13,902","50,006",8.14,"118,221",34.79,43.26,
189,KODEX 종합채권(AA-이상)액티브,"109,680",35,-0.03%,0,"13,890","12,664",0.00,279,N/A,N/A,
190,LG생활건강우,"661,000","5,000",-0.75%,"5,000","13,879","2,100",84.38,748,13.88,N/A,
191,SK네트웍스,"5,570",20,+0.36%,"2,500","13,824","248,188",12.95,"154,762",37.89,1.63,
192,NHN,"70,300",300,+0.43%,500,"13,754","19,565",12.50,"8,953",62.77,1.35,
193,후성,"14,500",200,+1.40%,500,"13,428","92,607",6.58,"476,088",134.26,2.79,
194,에스엘,"27,700",500,+1.84%,500,"13,352","48,203",17.52,"32,397",12.10,4.74,
195,동원시스템즈,"51,900","1,500",+2.98%,"5,000","13,296","25,619",1.42,"76,906",24.67,10.97,
196,롯데관광개발,"19,150",200,+1.06%,500,"13,266","69,276",6.81,"88,398",-8.48,-30.43,
197,롯데칠성,"139,500",500,-0.36%,500,"12,944","9,279",8.63,"2,768",56.82,-1.00,
198,효성화학,"405,000","7,000",+1.76%,"5,000","12,920","3,190",10.26,"41,043",14.52,-2.71,
199,지누스,"81,600",200,+0.25%,500,"12,893","15,800",22.29,"14,231",34.09,11.61,
200,TIGER TOP10,"14,060",130,-0.92%,0,"12,872","91,550",0.15,"42,240",N/A,N/A,
